시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201601,16,"33,900",9,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201601,26,"34,850",13,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201601,30,"33,100",12,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201602,3,"30,800",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201602,3,"31,000",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201602,26,"31,450",2,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201603,8,"34,500",16,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201603,16,"32,700",2,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201604,5,"34,800",13,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201604,9,"33,700",10,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201604,10,"34,500",6,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201605,6,"32,400",5,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201605,13,"35,600",17,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201606,1,"34,700",6,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201606,4,"33,700",9,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201607,2,"35,800",22,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201607,25,"35,000",17,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201608,4,"30,800",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201608,22,"33,400",4,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201608,27,"34,850",5,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201609,12,"35,800",21,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201609,13,"33,850",20,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201609,19,"31,800",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201610,3,"34,700",5,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201610,11,"33,200",4,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201610,19,"34,300",20,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201611,2,"35,200",15,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201611,7,"36,000",20,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201611,8,"34,200",19,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201611,19,"36,000",13,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201612,1,"34,800",5,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201612,3,"33,500",3,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201612,3,"33,500",3,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201612,12,"32,500",1,2012,도안북로 125,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201602,2,"32,000",12,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201603,4,"32,000",10,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201603,10,"34,400",20,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201603,12,"32,000",5,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201603,23,"31,300",8,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201604,2,"33,900",13,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,201604,3,"32,000",14,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201604,11,"31,500",15,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201605,2,"35,500",19,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201605,13,"32,500",1,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201605,14,"32,300",1,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201605,19,"33,600",19,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201605,21,"34,000",5,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201606,1,"34,000",5,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201606,8,"32,000",14,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201606,15,"33,700",16,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201606,18,"33,100",11,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201607,21,"33,000",4,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201607,25,"33,800",8,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201607,30,"33,800",20,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201608,6,"34,600",13,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201608,12,"34,300",10,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201608,27,"33,900",21,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,201609,2,"34,200",3,2014,원도안로 100,
