시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202010,17,"57,800",13,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202010,21,"59,500",14,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202011,7,"57,800",7,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202011,8,"57,500",15,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202011,9,"57,000",17,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202011,16,"58,000",8,2012,도안북로 125,20201230
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202011,23,"59,000",12,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202011,30,"49,800",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202012,5,"59,500",19,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202012,10,"49,200",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,202012,12,"57,000",12,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202012,13,"65,000",19,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202012,14,"59,900",21,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202012,24,"57,500",3,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,202012,30,"58,000",8,2012,도안북로 125,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,202001,2,"47,000",4,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,202001,2,"65,000",21,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,202001,4,"48,600",17,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,202001,14,"46,800",4,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202001,23,"49,600",18,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,202001,30,"50,000",20,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,202002,8,"52,800",14,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,202002,12,"48,000",10,2014,원도안로 100,
