시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201902,1,"33,000",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201902,16,"43,000",9,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201902,21,"37,000",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201903,23,"39,000",2,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201904,12,"43,000",10,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201904,20,"49,000",13,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201906,25,"44,000",15,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201906,27,"44,900",23,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201907,20,"48,000",20,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201907,30,"46,200",10,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201908,22,"46,300",13,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201908,27,"44,800",10,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201910,9,"43,300",4,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201910,11,"46,000",18,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201910,21,"46,700",11,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201910,21,"49,300",22,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201910,22,"46,200",15,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201910,23,"45,500",7,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201910,28,"45,500",11,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201911,8,"48,000",15,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201911,14,"38,400",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201911,23,"43,000",3,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201911,23,"47,300",9,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201912,3,"47,900",9,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201912,4,"47,500",15,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201912,4,"37,000",6,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201912,7,"48,500",7,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201912,7,"47,500",19,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201912,7,"47,300",8,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201912,10,"48,300",12,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201912,14,"40,900",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201912,14,"48,000",19,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201912,18,"42,000",2,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201912,20,"47,200",22,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201912,21,"46,000",18,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201912,25,"46,800",6,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201912,27,"52,500",20,2012,도안북로 125,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201901,9,"45,800",13,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201901,11,"46,000",18,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201901,17,"47,800",25,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,201901,19,"40,500",9,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201901,31,"41,400",2,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201902,11,"42,800",4,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201903,22,"24,000",6,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201904,17,"43,200",6,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201904,27,"43,000",12,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201905,10,"44,400",9,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201905,10,"43,000",10,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201905,12,"42,400",7,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201906,4,"39,250",1,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201906,10,"44,000",20,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201906,13,"44,000",11,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,201906,13,"47,000",17,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201906,19,"44,740",11,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201906,20,"44,000",18,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201906,21,"44,000",14,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201907,3,"46,000",18,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,201907,11,"42,800",3,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201908,1,"44,000",14,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201908,3,"43,500",16,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201908,3,"43,000",6,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201908,5,"44,900",11,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201908,8,"43,000",17,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201908,11,"44,000",17,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201908,16,"44,600",7,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201908,22,"40,500",2,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201908,23,"44,900",15,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,201908,25,"46,800",18,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201908,30,"43,500",10,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201908,30,"39,250",2,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201908,31,"45,500",12,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201908,31,"43,500",5,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201909,2,"42,800",4,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201909,6,"43,500",10,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201909,7,"43,500",4,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201909,7,"44,300",5,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201909,10,"44,900",10,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201909,16,"38,000",1,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201909,16,"45,000",14,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201909,19,"45,500",7,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201909,21,"46,700",15,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201909,28,"45,700",17,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201909,28,"63,500",25,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201909,28,"47,500",21,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201909,30,"45,500",10,2014,원도안로 100,
