시군구,번지,본번,부번,단지명,전용면적,계약연도,계약일,거래금액,층,건축년도,도로명
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201607,25,33800,8,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201607,30,33800,20,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201608,6,34600,13,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201608,12,34300,10,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201608,27,33900,21,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,201609,2,34200,3,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201609,10,43500,18,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201609,11,33800,4,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201609,22,33100,15,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201609,29,34700,12,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201609,30,34700,15,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,201609,30,35200,11,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201610,4,33500,5,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201610,8,34200,11,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,201610,8,34200,6,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201610,10,34000,11,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201610,17,34200,6,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,201610,19,34950,15,2014,원도안로 100
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,201611,5,36200,20,2014,원도안로 100
