시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201801,9,"36,000",10,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201801,10,"36,400",8,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201801,21,"30,900",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201801,27,"36,800",7,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201802,22,"36,100",9,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201803,5,"37,400",11,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201803,7,"37,400",22,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201803,8,"36,100",19,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201803,19,"36,700",4,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.8163,201803,20,"36,500",16,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201803,24,"37,000",9,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201803,31,"33,700",4,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201804,5,"36,700",8,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201804,27,"31,500",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201806,10,"34,500",5,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9199,201806,14,"36,300",4,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201806,26,"30,300",1,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201807,1,"37,300",9,2012,도안북로 125,
대전광역시 서구 도안동,965,965,0,금성백조예미지,84.9542,201807,7,"36,600",21,2012,도안북로 125,
